month,column,data_type,nullable,schema_signature
2024-10,extra,double,True,fe168fb695319a91
2024-10,mta_tax,double,True,fe168fb695319a91
2024-10,tip_amount,double,True,fe168fb695319a91
2024-10,tolls_amount,double,True,fe168fb695319a91
2024-10,improvement_surcharge,double,True,fe168fb695319a91
2024-10,total_amount,double,True,fe168fb695319a91
2024-10,congestion_surcharge,double,True,fe168fb695319a91
2024-10,Airport_fee,double,True,fe168fb695319a91
2024-11,VendorID,int,True,fe168fb695319a91
2024-11,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-11,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-11,passenger_count,bigint,True,fe168fb695319a91
2024-11,trip_distance,double,True,fe168fb695319a91
2024-11,RatecodeID,bigint,True,fe168fb695319a91
2024-11,store_and_fwd_flag,string,True,fe168fb695319a91
2024-11,PULocationID,int,True,fe168fb695319a91
2024-11,DOLocationID,int,True,fe168fb695319a91
2024-11,payment_type,bigint,True,fe168fb695319a91
2024-11,fare_amount,double,True,fe168fb695319a91
2024-11,extra,double,True,fe168fb695319a91
2024-11,mta_tax,double,True,fe168fb695319a91
2024-11,tip_amount,double,True,fe168fb695319a91
2024-11,tolls_amount,double,True,fe168fb695319a91
2024-11,improvement_surcharge,double,True,fe168fb695319a91
2024-11,total_amount,double,True,fe168fb695319a91
2024-11,congestion_surcharge,double,True,fe168fb695319a91
2024-11,Airport_fee,double,True,fe168fb695319a91
2024-12,VendorID,int,True,fe168fb695319a91
2024-12,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-12,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-12,passenger_count,bigint,True,fe168fb695319a91
2024-12,trip_distance,double,True,fe168fb695319a91
2024-12,RatecodeID,bigint,True,fe168fb695319a91
2024-12,store_and_fwd_flag,string,True,fe168fb695319a91
2024-12,PULocationID,int,True,fe168fb695319a91
2024-12,DOLocationID,int,True,fe168fb695319a91
2024-12,payment_type,bigint,True,fe168fb695319a91
2024-12,fare_amount,double,True,fe168fb695319a91
2024-12,extra,double,True,fe168fb695319a91
2024-12,mta_tax,double,True,fe168fb695319a91
2024-12,tip_amount,double,True,fe168fb695319a91
2024-12,tolls_amount,double,True,fe168fb695319a91
2024-12,improvement_surcharge,double,True,fe168fb695319a91
2024-12,total_amount,double,True,fe168fb695319a91
2024-12,congestion_surcharge,double,True,fe168fb695319a91
2024-12,Airport_fee,double,True,fe168fb695319a91
2025-01,VendorID,int,True,0122e1e718eadab0
2025-01,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-01,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-01,passenger_count,bigint,True,0122e1e718eadab0
2025-01,trip_distance,double,True,0122e1e718eadab0
2025-01,RatecodeID,bigint,True,0122e1e718eadab0
2025-01,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-01,PULocationID,int,True,0122e1e718eadab0
2025-01,DOLocationID,int,True,0122e1e718eadab0
2025-01,payment_type,bigint,True,0122e1e718eadab0
2025-01,fare_amount,double,True,0122e1e718eadab0
2025-01,extra,double,True,0122e1e718eadab0
2025-01,mta_tax,double,True,0122e1e718eadab0
2025-01,tip_amount,double,True,0122e1e718eadab0
2025-01,tolls_amount,double,True,0122e1e718eadab0
2025-01,improvement_surcharge,double,True,0122e1e718eadab0
2025-01,total_amount,double,True,0122e1e718eadab0
2025-01,congestion_surcharge,double,True,0122e1e718eadab0
2025-01,Airport_fee,double,True,0122e1e718eadab0
2025-01,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-02,VendorID,int,True,0122e1e718eadab0
2025-02,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-02,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-02,passenger_count,bigint,True,0122e1e718eadab0
2025-02,trip_distance,double,True,0122e1e718eadab0
2025-02,RatecodeID,bigint,True,0122e1e718eadab0
2025-02,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-02,PULocationID,int,True,0122e1e718eadab0
2025-02,DOLocationID,int,True,0122e1e718eadab0
2025-02,payment_type,bigint,True,0122e1e718eadab0
2025-02,fare_amount,double,True,0122e1e718eadab0
2025-02,extra,double,True,0122e1e718eadab0
2025-02,mta_tax,double,True,0122e1e718eadab0
2025-02,tip_amount,double,True,0122e1e718eadab0
2025-02,tolls_amount,double,True,0122e1e718eadab0
2025-02,improvement_surcharge,double,True,0122e1e718eadab0
2025-02,total_amount,double,True,0122e1e718eadab0
2025-02,congestion_surcharge,double,True,0122e1e718eadab0
2025-02,Airport_fee,double,True,0122e1e718eadab0
2025-02,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-03,VendorID,int,True,0122e1e718eadab0
2025-03,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-03,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-03,passenger_count,bigint,True,0122e1e718eadab0
2025-03,trip_distance,double,True,0122e1e718eadab0
2025-03,RatecodeID,bigint,True,0122e1e718eadab0
2025-03,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-03,PULocationID,int,True,0122e1e718eadab0
2025-03,DOLocationID,int,True,0122e1e718eadab0
2025-03,payment_type,bigint,True,0122e1e718eadab0
2025-03,fare_amount,double,True,0122e1e718eadab0
2025-03,extra,double,True,0122e1e718eadab0
2025-03,mta_tax,double,True,0122e1e718eadab0
2025-03,tip_amount,double,True,0122e1e718eadab0
2025-03,tolls_amount,double,True,0122e1e718eadab0
2025-03,improvement_surcharge,double,True,0122e1e718eadab0
2025-03,total_amount,double,True,0122e1e718eadab0
2025-03,congestion_surcharge,double,True,0122e1e718eadab0
2025-03,Airport_fee,double,True,0122e1e718eadab0
2025-03,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-04,VendorID,int,True,0122e1e718eadab0
2025-04,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-04,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-04,passenger_count,bigint,True,0122e1e718eadab0
2025-04,trip_distance,double,True,0122e1e718eadab0
2025-04,RatecodeID,bigint,True,0122e1e718eadab0
2025-04,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-04,PULocationID,int,True,0122e1e718eadab0
2025-04,DOLocationID,int,True,0122e1e718eadab0
2025-04,payment_type,bigint,True,0122e1e718eadab0
2025-04,fare_amount,double,True,0122e1e718eadab0
2025-04,extra,double,True,0122e1e718eadab0
2025-04,mta_tax,double,True,0122e1e718eadab0
2025-04,tip_amount,double,True,0122e1e718eadab0
2025-04,tolls_amount,double,True,0122e1e718eadab0
2025-04,improvement_surcharge,double,True,0122e1e718eadab0
2025-04,total_amount,double,True,0122e1e718eadab0
2025-04,congestion_surcharge,double,True,0122e1e718eadab0
2025-04,Airport_fee,double,True,0122e1e718eadab0
2025-04,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-05,VendorID,int,True,0122e1e718eadab0
2025-05,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-05,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-05,passenger_count,bigint,True,0122e1e718eadab0
2025-05,trip_distance,double,True,0122e1e718eadab0
2025-05,RatecodeID,bigint,True,0122e1e718eadab0
2025-05,store_and_fwd_flag,string,True,0122e1e718eadab0
2025-05,PULocationID,int,True,0122e1e718eadab0
2025-05,DOLocationID,int,True,0122e1e718eadab0
2025-05,payment_type,bigint,True,0122e1e718eadab0
2025-05,fare_amount,double,True,0122e1e718eadab0
2025-05,extra,double,True,0122e1e718eadab0
2025-05,mta_tax,double,True,0122e1e718eadab0
2025-05,tip_amount,double,True,0122e1e718eadab0
2025-05,tolls_amount,double,True,0122e1e718eadab0
2025-05,improvement_surcharge,double,True,0122e1e718eadab0
2025-05,total_amount,double,True,0122e1e718eadab0
2025-05,congestion_surcharge,double,True,0122e1e718eadab0
2025-05,Airport_fee,double,True,0122e1e718eadab0
2025-05,cbd_congestion_fee,double,True,0122e1e718eadab0
2025-06,VendorID,int,True,0122e1e718eadab0
2025-06,tpep_pickup_datetime,timestamp_ntz,True,0122e1e718eadab0
2025-06,tpep_dropoff_datetime,timestamp_ntz,True,0122e1e718eadab0
